Name,PhysicalAddress,PostalAddress,Email,Phone
Murray Downs School,"{'description': 'Outstation', 'state': 'NT', 'postCode': 'Murray Downs(Imangara)', 'displayAddress': 'Outstation, Murray Downs(Imangara), NT'}","PMB 48, Alice Springs, 0872, NT",natasha.hosny@education.nt.gov.au,(08) 8964 1951
Mutitjulu School,"{'description': 'Mutitjulu', 'state': 'NT', 'postCode': 'Ayers Rock', 'displayAddress': 'Mutitjulu, Ayers Rock, NT'}","PO Box 121, Yulara, 0872, NT",mutitjulu.school@education.nt.gov.au,(08) 8956 2547
Mulga Bore School,"{'description': 'n/a', 'state': 'NT', 'postCode': 'Mulga Bore Community', 'displayAddress': 'n/a, Mulga Bore Community, NT'}","PMB 18, via Alice Springs, 0872, NT",pesala.brown@education.nt.gov.au,(08) 8956 9824
Nakara Primary School,"{'description': '35 Nakara Tce', 'state': 'NT', 'postCode': 'Nakara, 0810', 'displayAddress': '35 Nakara Tce, Nakara, 0810, NT'}","35 Nakara Tce, Nakara, 0810, NT",nakara.primary@education.nt.gov.au,(08) 8927 9823
Mount Allan School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Yuelamu', 'displayAddress': 'N/A, Yuelamu, NT'}","PMB  6, Mount Allan School via Alice Springs, 0872, NT",dowreen.lata@education.nt.gov.au,(08) 8956 8860
Moulden Primary School,"{'description': '103 Bonson Tce', 'state': 'NT', 'postCode': 'Moulden, 0830', 'displayAddress': '103 Bonson Tce, Moulden, 0830, NT'}","PO Box 80, PALMERSTON, 0831, NT",moulden.primary@education.nt.gov.au,(08) 8930 5900
Mother Teresa Catholic Primary School,"{'description': 'Ginger St', 'state': 'NT', 'postCode': 'Zuccoli', 'displayAddress': 'Ginger St, Zuccoli, NT'}","PO Box 1125, Palmerston, 0830, ",principal.motherteresa@nt.catholic.edu.au,(08) 7969 5600
Moil Primary School,"{'description': '37 Lanyon Tce', 'state': 'NT', 'postCode': 'Moil, 0810', 'displayAddress': '37 Lanyon Tce, Moil, 0810, NT'}","37 Lanyon Tce, MOIL, 0810, NT",admin.moilsch@education.nt.gov.au,(08) 898 37530
Milyakburra School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Milyakburra (Bickerton Island)', 'displayAddress': 'N/A, Milyakburra (Bickerton Island), NT'}","PMB 5, Bickerton Island, via Winnellie, 0822, NT",alessa.fremmer@education.nt.gov.au,(08) 8987 6084
Minyerri School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Minyerri (Hodgson Downs)', 'displayAddress': 'N/A, Minyerri (Hodgson Downs), NT'}","PMB 40, KATHERINE, 0851, NT",amy.dyke@education.nt.gov.au,(08) 8975 9972
Mimik-Ga Centre,"{'description': '4 Henbury Ave', 'state': 'NT', 'postCode': 'Wanguri, 0810', 'displayAddress': '4 Henbury Ave, Wanguri, 0810, NT'}","PO Box 40519, Casuarina, 0811, NT",admin.mimik-ga@education.nt.gov.au,(08) 898 37900
Millner Primary School,"{'description': '41 Sabine Rd', 'state': 'NT', 'postCode': 'Millner, 0810', 'displayAddress': '41 Sabine Rd, Millner, 0810, NT'}","41 Sabine Rd, MILLNER, 0810, NT",admin.millnerps@education.nt.gov.au,(08) 792 30333
Milkwood Steiner,"{'description': '107 Boulter Road, Berrimah NT 0828', 'state': 'NT', 'postCode': 'Marrara', 'displayAddress': '107 Boulter Road, Berrimah NT 0828, Marrara, NT'}","PO Box 319, Karama, 0812, NT",info@milkwood.nt.edu.au,08 8947 0608
Milingimbi School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Milingimbi, 0822', 'displayAddress': 'N/A, Milingimbi, 0822, NT'}","PMB 54, Milingimbi, via WINNELLIE, 0822, NT",michael.jones@education.nt.gov.au,(08) 8987 9902
Milikapiti School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Milikapiti (Snake Bay)', 'displayAddress': 'N/A, Milikapiti (Snake Bay), NT'}","PMB 96, via Winnellie, 0822, NT",chris.armstrong1@education.nt.gov.au,(08) 8978 3960
Middle Point School,"{'description': '615 Anzac Pde', 'state': 'NT', 'postCode': 'Middle Point', 'displayAddress': '615 Anzac Pde, Middle Point, NT'}","PO Box 96, Humpty Doo, 0836, NT",middle.pt@education.nt.gov.au,(08) 8988 1688
Mbunghara School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Mbunghara', 'displayAddress': 'N/A, Mbunghara, NT'}","PMB 242, via Alice Springs, 0872, NT",mbunghara.school@education.nt.gov.au,(08) 8956 8503
Mataranka School,"{'description': 'Roper Terrace', 'state': 'NT', 'postCode': 'Mataranka, 0852', 'displayAddress': 'Roper Terrace, Mataranka, 0852, NT'}","PO Box 4022, Mataranka, 0852, NT",telka.zotz@education.nt.gov.au,(08) 8975 4543
Mapuru Yirralka College,"{'description': 'Dhabulu Rd', 'state': 'NT', 'postCode': 'Mapuru, NT 0822', 'displayAddress': 'Dhabulu Rd, Mapuru, NT 0822, NT'}","PMB 301, Winnellie, 0821, NT",debra.bateman@ntschools.net,(08) 8970 4996
Marrara Christian School,"{'description': '110 Amy Johnson Ave', 'state': 'NT', 'postCode': 'Marrara', 'displayAddress': '110 Amy Johnson Ave, Marrara, NT'}","PO Box 84, Karama, 0812, NT",admin.mcc@ntschools.net,(08) 8920 2000
Manyallaluk School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Manyallaluk (Eva Valley)', 'displayAddress': 'N/A, Manyallaluk (Eva Valley), NT'}","PO Box 271, Katherine, 0851, Nt",admin.manyasch@education.nt.gov.au,(08) 8975 4438
Manunda Terrace Primary School,"{'description': '31 Manunda Tce', 'state': 'NT', 'postCode': 'Karama, 0812', 'displayAddress': '31 Manunda Tce, Karama, 0812, NT'}","31 Manunda Tce, KARAMA, 0812, NT",manunda.school@education.nt.gov.au,(08) 899 77366
Maningrida School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Maningrida, 0822', 'displayAddress': 'N/A, Maningrida, 0822, NT'}","PMB 67, via WINNELLIE, 0822, NT",maningrida.cec@education.nt.gov.au,(08) 8979 5950
Mamaruni School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Minjilang (Croker Is)', 'displayAddress': 'N/A, Minjilang (Croker Is), NT'}","PMB 47, via Winnellie, 0822, NT",terri-lee.evans@education.nt.gov.au,(08) 8979 0255
Malak Primary School,"{'description': '45 Malak Cres', 'state': 'NT', 'postCode': 'Malak, 0812', 'displayAddress': '45 Malak Cres, Malak, 0812, NT'}","45 Malak Crescent, MALAK, 0812, NT",admin.malak@education.nt.gov.au,(08) 899 77600
MacFarlane Primary School,"{'description': '42 Grevillea Rd', 'state': 'NT', 'postCode': 'Katherine East, 0850', 'displayAddress': '42 Grevillea Rd, Katherine East, 0850, NT'}","42 Grevillea Road, KATHERINE EAST, 0850, NT",admin.macfasch@education.nt.gov.au,(08) 896 51700
Ludmilla Primary School,"{'description': '41 Bagot Rd', 'state': 'NT', 'postCode': 'Ludmilla, 0820', 'displayAddress': '41 Bagot Rd, Ludmilla, 0820, NT'}","PO Box 39945, WINNELLIE, 0821, NT",admin.ludmilla@education.nt.gov.au,(08) 898 37888
Mackillop Catholic College,"{'description': '285 Farrar Boulevard', 'state': 'NT', 'postCode': 'Johnston', 'displayAddress': '285 Farrar Boulevard, Johnston, NT'}","P O Box 2608, Palmerston, 0831, NT",mackillopcollege@nt.catholic.edu.au,08 8930 5757
Ltyentye Apurte CEC,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Santa Teresa (Ltyenty Apurte)', 'displayAddress': 'N/A, Santa Teresa (Ltyenty Apurte), NT'}","Santa Teresa, PMB 221, via A/Springs, 0871, NT",la.admin@nt.catholic.edu.au,(08) 8956 0937
Living Waters Lutheran School,"{'description': 'Cnr Albrecht Dr & Kramer St', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': 'Cnr Albrecht Dr & Kramer St, Alice Springs, NT'}","PO Box 8869, Alice Springs, 0871, NT",living.waters@ntschools.net,(08) 8950 0700
Leanyer Primary School,"{'description': '114 Leanyer Drive,', 'state': 'NT', 'postCode': 'Leanyer, 0812', 'displayAddress': '114 Leanyer Drive,, Leanyer, 0812, NT'}","114 Leanyer Drive, LEANYER, 0812, NT",admin.leanyer@education.nt.gov.au,(08) 8927 4022
Laynhapuy Homelands School,"{'description': 'Galpu Rd', 'state': 'NT', 'postCode': 'Yirrkala', 'displayAddress': 'Galpu Rd, Yirrkala, NT'}","PMB 747, Nhulunbuy, 0881, NT",yhs.admin@ntschools.net,(08) 898 71224
Larrakeyah Primary School,"{'description': '3 Packard St', 'state': 'NT', 'postCode': 'Larrakeyah, 0820', 'displayAddress': '3 Packard St, Larrakeyah, 0820, NT'}","PO Box 412, DARWIN, 0801, NT",larrakeyah.admin@education.nt.gov.au,(08) 8981 3211
Laramba School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Laramba (Napperby)', 'displayAddress': 'N/A, Laramba (Napperby), NT'}","PMB 213, via Alice Springs, 0872, NT",laramba.school@education.nt.gov.au,(08) 8956 8771
Kiana School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Kiana', 'displayAddress': 'N/A, Kiana, NT'}","PMB 33, via Tennanat Creek, 0861, NT",tba,(08) 8975 9820
Lajamanu School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Lajamanu ( Hooker Ck)', 'displayAddress': 'N/A, Lajamanu ( Hooker Ck), NT'}","PMB 63, via Katherine, 0851, NT",admin.lajamcec@education.nt.gov.au,(08) 8975 0946
Larapinta Primary School,"{'description': '22 Albrecht Dr', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': '22 Albrecht Dr, Alice Springs, NT'}","PO Box 9021, ALICE SPRINGS, 0871, NT",larapinta.primary@education.nt.gov.au,(08) 895 85155
Kintore Street School,"{'description': '11 Kintore St', 'state': 'NT', 'postCode': 'Katherine, 0872', 'displayAddress': '11 Kintore St, Katherine, 0872, NT'}","PO Box 1931, KATHERINE, 0851, NT",kintore.admin@education.nt.gov.au,(08) 8973 3888
Katherine School Of The Air,"{'description': '101 Giles St', 'state': 'NT', 'postCode': 'Katherine, 0850', 'displayAddress': '101 Giles St, Katherine, 0850, NT'}","PO Box 531, KATHERINE, 0851, NT",kath.soa@education.nt.gov.au,(08) 896 51555
Katherine South Primary School,"{'description': 'Riverbank Dr', 'state': 'NT', 'postCode': 'Katherine, 0850', 'displayAddress': 'Riverbank Dr, Katherine, 0850, NT'}","PO Box 721, KATHERINE, 0851, NT",admin.kathesch@education.nt.gov.au,(08) 8972 1277
Katherine High School,"{'description': 'Grevillea Rd', 'state': 'NT', 'postCode': 'Katherine East, 0850', 'displayAddress': 'Grevillea Rd, Katherine East, 0850, NT'}","PO Box 189, KATHERINE, 0851, NT",admin.kathehs@education.nt.gov.au,(08) 897 38200
Karama Primary School,"{'description': '37 Livistona Rd', 'state': 'NT', 'postCode': 'Karama, 0812', 'displayAddress': '37 Livistona Rd, Karama, 0812, NT'}","PO Box 103, Karama, 0813, NT",karama.school@education.nt.gov.au,(08) 898 37700
Kalkaringi School,"{'description': 'Whitlam st', 'state': 'NT', 'postCode': 'Kalkaringi (Wave hill)', 'displayAddress': 'Whitlam st, Kalkaringi (Wave hill), NT'}","PMB 41, KATHERINE, 0852, NT",anne.saunders@education.nt.gov.au,(08) 896 51888
Katherine Flexible Learning Centre,"{'description': '5 Kintore St', 'state': 'NT', 'postCode': 'Katherine, 0850', 'displayAddress': '5 Kintore St, Katherine, 0850, NT'}","PO Box 189, Katherine, 0851, NT",tba,(08) 897 38200
Jingili Primary School,"{'description': '17 Rindberg St', 'state': 'NT', 'postCode': 'Jingili, 0810', 'displayAddress': '17 Rindberg St, Jingili, 0810, NT'}","PO Box 40600, CASUARINA, 0810, NT",jingili.school@education.nt.gov.au,(08) 898 37555
Jilkminggan School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Jilkminggan (Duck Creek)', 'displayAddress': 'N/A, Jilkminggan (Duck Creek), NT'}","PO Box 4054, Mataranka, 0852, NT",admin.jilkmsch@education.nt.gov.au,(08) 8975 4896
Jabiru Area School,"{'description': '40 Waterhouse Rd', 'state': 'NT', 'postCode': 'Jabiru', 'displayAddress': '40 Waterhouse Rd, Jabiru, NT'}","PO Box  246, Jabiru, 0886, NT",jabiru.areaschool@education.nt.gov.au,(08) 8938 3333
Imanpa School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Imanpa', 'displayAddress': 'N/A, Imanpa, NT'}","PMB 76, via Alice Springs, 0872, NT",kandi.thorpe@education.nt.gov.au,(08) 8956 7483
Sadadeen Primary School,"{'description': '80 Spearwood Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '80 Spearwood Rd, Alice Springs, 0870, NT'}","PO Box 2707, ALICE SPRINGS, 0871, NT",sadadeen.primary@education.nt.gov.au,(08) 895 52299
Humpty Doo Primary School,"{'description': '50 Freds Pass Rd', 'state': 'NT', 'postCode': 'Humpty Doo, 0836', 'displayAddress': '50 Freds Pass Rd, Humpty Doo, 0836, NT'}","PO Box 46, HUMPTY DOO, 0836, NT",admin.humptydoo@education.nt.gov.au,(08) 792 30400
Holy Spirit Catholic School,"{'description': 'Gsell Street', 'state': 'NT', 'postCode': 'Casuarina', 'displayAddress': 'Gsell Street, Casuarina, NT'}","PO Box 40030, Casuarina, 0810, NT",paula.sellars@nt.catholic.edu.au,(08) 8927 3411
Howard Springs Primary School,"{'description': '295 Whitewood Rd', 'state': 'NT', 'postCode': 'Howard Springs, 0835', 'displayAddress': '295 Whitewood Rd, Howard Springs, 0835, NT'}","PO Box  171, HOWARD SPRINGS, 0835, NT",howard.springs@education.nt.gov.au,(08) 898 30000
Holy Family Catholic School,"{'description': 'Calytrix Road', 'state': 'NT', 'postCode': 'Karama', 'displayAddress': 'Calytrix Road, Karama, NT'}","PO Box 40870, Casuarina, 0812, NT",admin.holyfamily@nt.catholic.edu.au,(08) 89276188
Harts Range School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Atitjere (Harts Range)', 'displayAddress': 'N/A, Atitjere (Harts Range), NT'}","PMB 162, via Alice Springs, 0871, NT",rhyl.hall@education.nt.gov.au,(08) 8956 9771
Henbury School,"{'description': '11 Henbury Avenue', 'state': 'NT', 'postCode': 'Tiwi, 0810', 'displayAddress': '11 Henbury Avenue, Tiwi, 0810, NT'}","11 Henbury Avenue, Tiwi, 0810, NT",henbury.admin@education.nt.gov.au,(08) 899 77077
Haileybury Rendall School,"{'description': '6057 Berrimah Road', 'state': 'NT', 'postCode': 'Berrimah', 'displayAddress': '6057 Berrimah Road, Berrimah, NT'}","PO Box 241, Berrimah, 0828, NT",hrs.admin@hrs.edu.au,(08) 8922 1611
Haasts Bluff School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Haasts Bluff (Ikuntji), 0872', 'displayAddress': 'N/A, Haasts Bluff (Ikuntji), 0872, NT'}","Haasts Bluff, via Alice Springs, 0872, NT",geoff.gillman@education.nt.gov.au,(08) 8956 8550
Gunbalanya School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Gunbalanya', 'displayAddress': 'N/A, Gunbalanya, NT'}","PMB 66, Gunbalanya, 0822, NT",admin.gunbacec@education.nt.gov.au,(08) 8979 0181
Gray Primary School,"{'description': '22 Victoria Drive', 'state': 'NT', 'postCode': 'Gray, 0830', 'displayAddress': '22 Victoria Drive, Gray, 0830, NT'}","Victoria Drive, GRAY, 0830, NT",admin.graysch@education.nt.gov.au,(08) 8932 1700
Good Shepherd Lutheran School,"{'description': 'Cnr Emery Ave and Temple Tce', 'state': 'NT', 'postCode': 'Palmerston', 'displayAddress': 'Cnr Emery Ave and Temple Tce, Palmerston, NT'}","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,(08) 8983 0300
Good Shepherd Lutheran College,"{'description': 'Cnr Whitewood Rd and Kundook Place', 'state': 'NT', 'postCode': 'Howard Springs', 'displayAddress': 'Cnr Whitewood Rd and Kundook Place, Howard Springs, NT'}","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,08 89830300
Girraween Primary School,"{'description': '25 Carruth Rd', 'state': 'NT', 'postCode': 'Girraween, 0835', 'displayAddress': '25 Carruth Rd, Girraween, 0835, NT'}","PO Box 1042, HOWARD SPRINGS, 0835, NT",admin.girrasch@education.nt.gov.au,(08) 8983 3300
Gillen Primary School,"{'description': '55 Milner Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '55 Milner Rd, Alice Springs, 0870, NT'}","PO Box 769, ALICE SPRINGS, 0871, NT",gillen.school@education.nt.gov.au,(08) 895 52155
Gawa Christian School,"{'description': 'Community ID 508', 'state': 'NT', 'postCode': 'Gawa', 'displayAddress': 'Community ID 508, Gawa, NT'}","PMB 257, Elcho Island via Winnellie, 0822, NT",admin.gcs@ntschools.net,8970 5212
Gapuwiyak School,"{'description': 'N/a', 'state': 'NT', 'postCode': 'Gapuwiyak', 'displayAddress': 'N/a, Gapuwiyak, NT'}","PMB 900, Via Winnellie, 0822, NT",kylie.hendry1@education.nt.gov.au,(08) 8987 9122
Gapuwiyak Pre School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Gapuwiyak', 'displayAddress': 'N/A, Gapuwiyak, NT'}",", , , ",,(08) 8987 9122
Forrest Parade School,"{'description': '120 Flynn Circuit', 'state': 'NT', 'postCode': 'Bellamack, 0832', 'displayAddress': '120 Flynn Circuit, Bellamack, 0832, NT'}","120 Flynn Circuit, Bellamack, 0832, NT",admin.forrestps@education.nt.gov.au,(08) 899 77111
Finke School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Finke', 'displayAddress': 'N/A, Finke, NT'}","PMB 30, via Alice Springs, 0871, NT",finke.school@education.nt.gov.au,(08) 8956 0960
Essington School,"{'description': '22 Chapman Rd', 'state': 'NT', 'postCode': 'Rapid Creek', 'displayAddress': '22 Chapman Rd, Rapid Creek, NT'}","PO Box 42321, Casuarina, 0811, NT",administration@essington.nt.edu.au,(08) 8985 0100
Dundee Beach School,"{'description': '500 Namarada Dr', 'state': 'NT', 'postCode': 'Dundee Beach', 'displayAddress': '500 Namarada Dr, Dundee Beach, NT'}","PO Box 145, Dundee Beach, 0840, NT",dundee.school@education.nt.gov.au,(08) 8978 2212
Family as First Teachers,"{'description': 'Mitchell St', 'state': 'NT', 'postCode': 'Darwin, 0800', 'displayAddress': 'Mitchell St, Darwin, 0800, NT'}","GPO Box 4821, Darwin, 0801, NT",faft.doe@education.nt.gov.au,(08) 899 93550
Elliott School,"{'description': '91 Bray St', 'state': 'NT', 'postCode': 'Elliott', 'displayAddress': '91 Bray St, Elliott, NT'}","C/- Elliott Post Office, Elliott, 0862, NT",kevin.gaskin@education.nt.gov.au,(08) 8969 2122
Durack Primary School,"{'description': '50 Woodlake Bvd', 'state': 'NT', 'postCode': 'Durack, 0830', 'displayAddress': '50 Woodlake Bvd, Durack, 0830, NT'}","PO Box  225, PALMERSTON, 0830, NT",durack.school@education.nt.gov.au,(08) 899 77555
Epenarra School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Wutunugurra (Epenarra)', 'displayAddress': 'N/A, Wutunugurra (Epenarra), NT'}","PMB 270, via Alice Springs, 0861, NT",jennifer.cadzow@education.nt.gov.au,(08) 8964 1512
Driver Primary School,"{'description': '37 Driver Ave', 'state': 'NT', 'postCode': 'Driver, 0830', 'displayAddress': '37 Driver Ave, Driver, 0830, NT'}","PO Box  33, PALMERSTON, 0831, NT",admin.drivesch@education.nt.gov.au,(08) 893 59000
Dripstone Middle School,"{'description': '10 Delamere St', 'state': 'NT', 'postCode': 'Tiwi, 0810', 'displayAddress': '10 Delamere St, Tiwi, 0810, NT'}","PO Box  41370, CASUARINA, 0811, NT",dripstone.middle@education.nt.gov.au,(08) 898 37777
Douglas Daly School,"{'description': 'Jungawa Rd', 'state': 'NT', 'postCode': 'Douglas-Daly', 'displayAddress': 'Jungawa Rd, Douglas-Daly, NT'}","PMB 46, via Winnellie, 0822, NT",carla.clough@education.nt.gov.au,(08) 8978 2836
Clyde Fenton Primary School,"{'description': '101 Giles St', 'state': 'NT', 'postCode': 'Katherine, 0850', 'displayAddress': '101 Giles St, Katherine, 0850, NT'}","PO Box 421, KATHERINE, 0851, NT",admin.clydesch@education.nt.gov.au,(08) 897 33844
Darwin Middle School,"{'description': 'Atkins Drive, The Gardens, NT 0820', 'state': 'NT', 'postCode': 'not available', 'displayAddress': 'Atkins Drive, The Gardens, NT 0820, not available, NT'}","PO Box 2257, PARAP, 0804, NT",admin.darwinmiddle@education.nt.gov.au,(08) 894 25200
Darwin Languages Centre,"{'description': '1 Nemarluk Dr, Ludmilla', 'state': 'NT', 'postCode': 'NT', 'displayAddress': '1 Nemarluk Dr, Ludmilla, NT, NT'}","P O Box 822, Nightcliff, 0814, NT",dlc.nt@education.nt.gov.au,(08) 899 77000
Darwin High School,"{'description': '10 Atkins Dr', 'state': 'NT', 'postCode': 'The Gardens, 0820', 'displayAddress': '10 Atkins Dr, The Gardens, 0820, NT'}","Bullocky Point, DARWIN, 0820, NT",darwin.high@education.nt.gov.au,(08) 899 91222
Centralian Middle School,"{'description': '56 Milner Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '56 Milner Rd, Alice Springs, 0870, NT'}","PO Box 1771, ALICE SPRINGS, 0871, NT",centralian.middle@education.nt.gov.au,(08) 895 52333
Centralian Senior College,"{'description': '10 Grevillea Drive', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '10 Grevillea Drive, Alice Springs, 0870, NT'}","PO Box 4856, ALICE SPRINGS, 0871, NT",admin.centraliansc@education.nt.gov.au,(08) 895 85000
Casuarina Street Primary School,"{'description': 'Casuarina St', 'state': 'NT', 'postCode': 'Katherine East, 0850', 'displayAddress': 'Casuarina St, Katherine East, 0850, NT'}","PO Box 1046, KATHERINE, 0851, NT",casuarina.admin@education.nt.gov.au,(08) 897 33800
Casuarina Senior College,"{'description': '61 Parer Dr', 'state': 'NT', 'postCode': 'Moil, 0810', 'displayAddress': '61 Parer Dr, Moil, 0810, NT'}","PO Box  40196, CASUARINA, 0811, NT",csc.admin@education.nt.gov.au,(08) 898 37300
Canteen Creek School,"{'description': 'N/a', 'state': 'NT', 'postCode': 'Canteen Creek', 'displayAddress': 'N/a, Canteen Creek, NT'}","PMB 105, via Alice Springs, 0872, NT",admin.cantesch@education.nt.gov.au,(08) 8964 1505
Bulla Camp School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Bulla', 'displayAddress': 'N/A, Bulla, NT'}","PMB 89, Katherine, 0851, NT",jenine.williams@education.nt.gov.au,(08) 9167 8957
Bulman School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Bulman', 'displayAddress': 'N/A, Bulman, NT'}","PMB 13, Katherine, 0851, NT",irene.singleton@education.nt.gov.au,(08) 8975 4707
Bradshaw Primary School,"{'description': '23 Adamson Ave', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '23 Adamson Ave, Alice Springs, 0870, NT'}","PO Box 1744, ALICE SPRINGS, 0871, NT",bradshaw.school@education.nt.gov.au,(08) 895 52100
Callistemon House,"{'description': '80 Callistemon Dr', 'state': 'NT', 'postCode': 'Katherine East, 0850', 'displayAddress': '80 Callistemon Dr, Katherine East, 0850, NT'}","PO Box 1971, Katherine East, 0851, NT",admin.callistemon@education.nt.gov.au,(08) 8972 3212
Braitling Primary School,"{'description': '80 Head St', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '80 Head St, Alice Springs, 0870, NT'}","PO Box  1669, ALICE SPRINGS, 0871, NT",admin.braitsch@education.nt.gov.au,(08) 895 85111
Borroloola School,"{'description': '321 Robinson Rd', 'state': 'NT', 'postCode': 'Borroloola, 0854', 'displayAddress': '321 Robinson Rd, Borroloola, 0854, NT'}","PMB 5, Borroloola, 0854, NT",admin.borrosch@education.nt.gov.au,(08) 896 51800
Bonya School,"{'description': 'Community ID 26', 'state': 'NT', 'postCode': 'Orrtipa-Thurra (Bonya)', 'displayAddress': 'Community ID 26, Orrtipa-Thurra (Bonya), NT'}","PMB 69, via Alice Springs, 0872, NT",billie.coupland@education.nt.gov.au,(08) 8956 6352
Alyarrmandumanja Umbakumba School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Umbakumba', 'displayAddress': 'N/A, Umbakumba, NT'}","PO Box 698, Alyangula, 0885, NT",admin.umbakumba@education.nt.gov.au,(08) 8987 6793
Alice Springs Steiner School,"{'description': 'Lot 9523 Ragonesi Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': 'Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT'}","PO Box 2736, Alice Springs, 0871, NT",accounts@alicesteiner.nt.edu.au,(08) 8953 4578
Alice Springs School Of The Air,"{'description': '80 Head St', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '80 Head St, Alice Springs, 0870, NT'}","PO Box 1220, Alice Springs, 0871, NT",assoa@assoa.nt.edu.au,(08) 8951 6800
Alpurrurulam School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Alpurrurulam (Lake Nash)', 'displayAddress': 'N/A, Alpurrurulam (Lake Nash), NT'}","PMB 46, Mt Isa, 4825, QLD",gavin.khan@education.nt.gov.au,(07) 4748 4887
Alice Springs Language Centre,"{'description': 'Milner Road', 'state': 'NT', 'postCode': 'Alice SPrings, 0870', 'displayAddress': 'Milner Road, Alice SPrings, 0870, NT'}","PO Box 9045, Alice Springs, 0871, NT",alice.language@education.nt.gov.au,(08) 895 52366
Alyangula Area School,"{'description': 'Cnr Flinders St & Ayawarra Cr', 'state': 'NT', 'postCode': 'Alyangula', 'displayAddress': 'Cnr Flinders St & Ayawarra Cr, Alyangula, NT'}","PMB 3, Alyangula, Groote Eylandt, 0885, NT",alyangula.admin@education.nt.gov.au,(08) 8987 6366
Alekarenge School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Ali Curung (Warrabri)', 'displayAddress': 'N/A, Ali Curung (Warrabri), NT'}","LMB 161, via Alice Springs, 0872, NT",admin.alekacec@education.nt.gov.au,(08) 8964 1957
Alcoota School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Engawala (Alcoota Stn)', 'displayAddress': 'N/A, Engawala (Alcoota Stn), NT'}","PMB 129,, via Alice Springs, 0872, NT",sian.munn@education.nt.gov.au,(08) 8956 9977
Alawa Primary School,"{'description': '27 Pett Street', 'state': 'NT', 'postCode': 'Alawa, 0810', 'displayAddress': '27 Pett Street, Alawa, 0810, NT'}","PO Box 40446, Casuarina, 0811, NT",alawa.school@education.nt.gov.au,(08) 899 77666
Adelaide River School,"{'description': '31 Memorial Tce', 'state': 'NT', 'postCode': 'Adelaide River, 0846', 'displayAddress': '31 Memorial Tce, Adelaide River, 0846, NT'}","C/- Post Office, Adelaide River, 0846, NT",adelaideriver.ps@education.nt.gov.au,(08) 8976 7034
Acacia Hill School,"{'description': '80 Spearwood Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '80 Spearwood Rd, Alice Springs, 0870, NT'}","PO Box 435, ALICE SPRINGS, 0871, NT",acaciahill.school@education.nt.gov.au,(08) 895 52222
